item,itemLabel,positionLabel,height,mass,genderLabel,followers
http://www.wikidata.org/entity/Q808661,Mustafa Özkan,Forvet,,,erkek,
http://www.wikidata.org/entity/Q809709,Barış Başdaş,orta saha,188,79,erkek,
http://www.wikidata.org/entity/Q738962,Mustafa Denizli,kanat,178,,erkek,
http://www.wikidata.org/entity/Q823989,Haluk Türkeri,Forvet,,,erkek,
http://www.wikidata.org/entity/Q820143,Olcay Şahan,kanat,177,70,erkek,
http://www.wikidata.org/entity/Q782660,Yılmaz Vural,savunma,174,,erkek,
http://www.wikidata.org/entity/Q793314,Aytaç Ak,savunma,,,erkek,
http://www.wikidata.org/entity/Q774601,İlhan Sancaktar,savunma,,,erkek,
http://www.wikidata.org/entity/Q828677,Bertul Kocabaş,Forvet,,,erkek,
http://www.wikidata.org/entity/Q792977,Aykut Demir,stoper,181,80,erkek,
http://www.wikidata.org/entity/Q815025,Bekir Sevgi,kaleci,,,erkek,
http://www.wikidata.org/entity/Q792946,Ayhan Gezen,orta saha,,,erkek,
http://www.wikidata.org/entity/Q811050,Batuhan Karadeniz,Forvet,194,88,erkek,
http://www.wikidata.org/entity/Q787437,Necati Ateş,Forvet,182,,erkek,
http://www.wikidata.org/entity/Q818684,Berat Çetinkaya,savunma,,,erkek,
http://www.wikidata.org/entity/Q764149,Cenk Güvenç,savunma,,,erkek,
http://www.wikidata.org/entity/Q824433,Rahman Soyudoğru,Forvet,,,erkek,
http://www.wikidata.org/entity/Q792953,Ayhan Tuna Üzümcü,savunma,,,erkek,
http://www.wikidata.org/entity/Q793322,Aytek Aşıkoğlu,savunma,,,erkek,
http://www.wikidata.org/entity/Q820816,Berkay Dabanlı,stoper,190,80,erkek,
http://www.wikidata.org/entity/Q787409,Volkan Şen,kanat,174,72,erkek,
http://www.wikidata.org/entity/Q809710,Barış Durmaz,savunma,,,erkek,
http://www.wikidata.org/entity/Q781843,Feyyaz Uçar,Forvet,,,erkek,
http://www.wikidata.org/entity/Q793436,Azad Corlu,orta saha,,,erkek,
http://www.wikidata.org/entity/Q809714,Barış Örücü,kanat,,,erkek,
http://www.wikidata.org/entity/Q815029,Bekir Yılmaz,orta saha,,,erkek,
http://www.wikidata.org/entity/Q815037,Bekir İrtegün,stoper,184,,erkek,
http://www.wikidata.org/entity/Q792999,Aykut Yiğit,savunma,,,erkek,
http://www.wikidata.org/entity/Q819832,Volkan Ekici,orta saha,,,erkek,
http://www.wikidata.org/entity/Q824590,Cenk İşler,Forvet,,,erkek,
http://www.wikidata.org/entity/Q810440,Basri Dirimlili,savunma,,,erkek,
http://www.wikidata.org/entity/Q792990,Aykut Topal,savunma,,,erkek,
http://www.wikidata.org/entity/Q792985,Aykut Sevim,orta saha,,,erkek,
http://www.wikidata.org/entity/Q793009,Aykut Çeviker,orta saha,,,erkek,
http://www.wikidata.org/entity/Q823922,Burhanettin Kaymak,savunma,,,erkek,
http://www.wikidata.org/entity/Q793320,Aytaç Öden,orta saha,,,erkek,
http://www.wikidata.org/entity/Q753169,Atahan Menekşe,savunma,,,erkek,
http://www.wikidata.org/entity/Q762860,Şükrü Gülesin,Forvet,191,,erkek,
http://www.wikidata.org/entity/Q820820,Berkay Samancı,orta saha,,,erkek,
http://www.wikidata.org/entity/Q823974,Detlef Müller,kaleci,,,erkek,
http://www.wikidata.org/entity/Q812592,Bayram Olgun,kaleci,,,erkek,
http://www.wikidata.org/entity/Q800230,Bahattin Köse,Forvet,183,,erkek,
http://www.wikidata.org/entity/Q814550,Behram Zülaloğlu,kaleci,,,erkek,
http://www.wikidata.org/entity/Q823947,Fatih Ceylan,kanat,,,erkek,
http://www.wikidata.org/entity/Q820154,Nurettin Kayaoğlu,savunma,,,erkek,
http://www.wikidata.org/entity/Q820773,Berk Neziroğluları,fullback,,,erkek,
http://www.wikidata.org/entity/Q740321,Oğuz Sabankay,orta saha,171,,erkek,
http://www.wikidata.org/entity/Q820135,Dilaver Güçlü,orta saha,,,erkek,
http://www.wikidata.org/entity/Q807762,Barbaros Barut,savunma,,,erkek,
http://www.wikidata.org/entity/Q823959,Selçuk Şahin,fullback,,,erkek,
http://www.wikidata.org/entity/Q823876,Serkan Atak,orta saha,,,erkek,
http://www.wikidata.org/entity/Q824377,Murat Kalkan,orta saha,,,erkek,
http://www.wikidata.org/entity/Q820789,Berkan Yıldırım,savunma,,,erkek,
http://www.wikidata.org/entity/Q820817,Berkay Can Değirmencioğlu,savunma,,,erkek,
http://www.wikidata.org/entity/Q811046,Batuhan İşçiler,orta saha,,,erkek,
http://www.wikidata.org/entity/Q817497,Benjamin Fuchs,savunma,,,erkek,
http://www.wikidata.org/entity/Q735937,Metin Tekin,kanat,,,erkek,
http://www.wikidata.org/entity/Q809709,Barış Başdaş,stoper,188,79,erkek,
http://www.wikidata.org/entity/Q792992,Aykut Uluç,Forvet,,,erkek,
http://www.wikidata.org/entity/Q793007,Aykut Kocaman,Forvet,,,erkek,
http://www.wikidata.org/entity/Q824366,Oğuzhan Kefkir,Forvet,,,erkek,
http://www.wikidata.org/entity/Q824414,Mirkan Aydın,Forvet,,,erkek,
http://www.wikidata.org/entity/Q824423,Soner Uysal,Forvet,,,erkek,
http://www.wikidata.org/entity/Q823959,Selçuk Şahin,orta saha,,,erkek,
http://www.wikidata.org/entity/Q824004,Bilal Çubukçu,orta saha,,,erkek,
http://www.wikidata.org/entity/Q804428,Baki Mercimek,savunma,187,,erkek,
http://www.wikidata.org/entity/Q776593,Onur Ayık,Forvet,,,erkek,
http://www.wikidata.org/entity/Q755911,Atilla Birlik,Forvet,175,73,erkek,
http://www.wikidata.org/entity/Q819597,Ersen Martin,Forvet,196,,erkek,
http://www.wikidata.org/entity/Q792898,Aydın Yılmaz,orta saha,176,65,erkek,
http://www.wikidata.org/entity/Q793872,Aziz Yıldırım,,,,erkek,
http://www.wikidata.org/entity/Q739376,Selçuk Şahin,orta saha,187,81,erkek,
http://www.wikidata.org/entity/Q736511,Barış Memiş,kanat,167,,erkek,
http://www.wikidata.org/entity/Q782070,Oktay Derelioğlu,Forvet,182,71,erkek,
http://www.wikidata.org/entity/Q747003,Sercan Yıldırım,Forvet,182,71,erkek,
http://www.wikidata.org/entity/Q758356,Atınç Nukan,savunma,196,90,erkek,82959
http://www.wikidata.org/entity/Q755921,Atilla Özmen,kaleci,,,erkek,
http://www.wikidata.org/entity/Q815037,Bekir İrtegün,savunma,184,,erkek,
http://www.wikidata.org/entity/Q774413,Bülent Ünder,orta saha,,,erkek,
http://www.wikidata.org/entity/Q771678,Orhan Gülle,orta saha,187,,erkek,
http://www.wikidata.org/entity/Q793319,Aytaç Sulu,stoper,183,80,erkek,
http://www.wikidata.org/entity/Q793318,Aytaç Kara,orta saha,188,86,erkek,
http://www.wikidata.org/entity/Q758356,Atınç Nukan,stoper,196,90,erkek,82959
http://www.wikidata.org/entity/Q800068,Enver Cenk Şahin,Forvet,174,,erkek,
http://www.wikidata.org/entity/Q763465,Hakan Çalhanoğlu,orta saha,176,73,erkek,
